x1,x2,y_label
30.06 ,49.59 ,0.00 
30.29 ,43.89 ,0.00 
32.58 ,95.60 ,0.00 
32.72 ,43.31 ,0.00 
33.92 ,98.87 ,0.00 
34.18 ,75.24 ,0.00 
34.21 ,44.21 ,0.00 
34.52 ,60.40 ,0.00 
34.62 ,78.02 ,0.00 
35.29 ,47.02 ,0.00 
35.85 ,72.90 ,0.00 
38.79 ,65.00 ,0.00 
39.54 ,76.04 ,0.00 
40.24 ,71.17 ,0.00 
40.46 ,97.54 ,1.00 
42.08 ,78.84 ,0.00 
42.26 ,87.10 ,1.00 
44.67 ,66.45 ,0.00 
45.08 ,56.32 ,0.00 
47.26 ,88.48 ,1.00 
49.07 ,51.88 ,0.00 
49.59 ,59.81 ,0.00 
50.29 ,49.80 ,0.00 
50.46 ,75.81 ,1.00 
50.53 ,48.86 ,0.00 
51.05 ,45.82 ,0.00 
51.55 ,46.86 ,0.00 
52.05 ,69.43 ,1.00 
52.11 ,63.13 ,0.00 
52.35 ,60.77 ,0.00 
53.97 ,89.21 ,1.00 
54.64 ,52.21 ,0.00 
55.34 ,64.93 ,1.00 
55.48 ,35.57 ,0.00 
56.25 ,39.26 ,0.00 
57.24 ,59.51 ,1.00 
58.84 ,75.86 ,1.00 
60.18 ,86.31 ,1.00 
60.46 ,42.51 ,0.00 
60.46 ,73.09 ,1.00 
61.11 ,96.51 ,1.00 
61.38 ,72.81 ,1.00 
61.83 ,50.26 ,0.00 
62.07 ,96.77 ,1.00 
62.22 ,52.06 ,0.00 
62.27 ,69.95 ,1.00 
64.04 ,78.03 ,1.00 
64.18 ,80.91 ,1.00 
66.56 ,41.09 ,0.00 
66.75 ,60.99 ,1.00 
67.32 ,66.59 ,1.00 
67.37 ,42.84 ,0.00 
67.95 ,46.68 ,0.00 
68.47 ,85.59 ,1.00 
69.07 ,52.74 ,1.00 
69.36 ,97.72 ,1.00 
70.66 ,92.93 ,1.00 
71.80 ,78.45 ,1.00 
72.35 ,96.23 ,1.00 
74.25 ,69.82 ,1.00 
74.49 ,84.85 ,1.00 
74.78 ,89.53 ,1.00 
74.79 ,41.57 ,0.00 
75.01 ,30.60 ,0.00 
75.02 ,46.55 ,0.00 
75.40 ,85.76 ,1.00 
75.48 ,90.42 ,1.00 
76.10 ,87.42 ,1.00 
76.98 ,47.58 ,0.00 
77.19 ,70.46 ,1.00 
77.92 ,68.97 ,1.00 
78.64 ,96.65 ,1.00 
79.03 ,75.34 ,1.00 
79.94 ,74.16 ,1.00 
80.19 ,44.82 ,0.00 
80.28 ,92.12 ,1.00 
80.37 ,90.96 ,1.00 
82.23 ,42.72 ,0.00 
82.31 ,76.48 ,1.00 
82.37 ,40.62 ,0.00 
83.49 ,48.38 ,0.00 
83.90 ,56.31 ,1.00 
84.43 ,43.53 ,0.00 
85.40 ,57.05 ,1.00 
88.91 ,69.80 ,1.00 
89.68 ,65.80 ,1.00 
89.85 ,45.36 ,1.00 
90.45 ,87.51 ,1.00 
90.55 ,43.39 ,1.00 
91.56 ,88.70 ,1.00 
93.11 ,38.80 ,0.00 
94.09 ,77.16 ,1.00 
94.44 ,65.57 ,1.00 
94.83 ,45.69 ,1.00 
95.86 ,38.23 ,0.00 
97.65 ,68.86 ,1.00 
97.77 ,86.73 ,1.00 
99.27 ,61.00 ,1.00 
99.32 ,68.78 ,1.00 
99.83 ,72.37 ,1.00 
